value, solution, nodesT, solution, sec
43, 53, 561217, true, 3547
43, 57, 2675124, true, 18954
43, 55, 433757, true, 2568
41, 59, 10716878, true, 83980
42, 56, 1369416, true, 9086
42, 56, 1025962, true, 6603
36, 52, 1604926, true, 11167
34, 52, 2534123, true, 18438
32, 50, 1110727, true, 7617
36, 46, 60131, true, 330
45, 59, 3878971, true, 27767
43, 57, 5705037, true, 43007
35, 45, 63884, true, 350
36, 46, 809193, true, 5407
43, 59, 10611297, true, 84244
44, 62, 9697906, true, 74425
28, 42, 435516, true, 2902
46, -1, 28034007, false, 900000
43, 55, 962795, true, 6192
38, 46, 91066, true, 516
36, 52, 1055877, true, 7092
38, 54, 2257689, true, 16236
43, 59, 15652069, true, 128609
35, 49, 211778, true, 1281
38, 54, 1358509, true, 9519
36, 52, 2244616, true, 15908
40, 58, 5768575, true, 42608
39, 53, 776216, true, 5009
36, 52, 1276691, true, 8641
40, 54, 1891553, true, 12907
35, 47, 191834, true, 1151
42, 50, 92334, true, 510
43, 59, 11414411, true, 89528
44, 60, 5951834, true, 43646
40, 52, 288929, true, 1701
39, 55, 3320662, true, 23791
40, 52, 885518, true, 5883
42, 58, 3068311, true, 21558
35, 49, 589025, true, 3864
38, 54, 2805918, true, 20172
38, 54, 2520626, true, 17784
34, 42, 23096, true, 118
50, 64, 3039467, true, 20512
36, 50, 932537, true, 6262
39, 51, 589200, true, 3730
37, 49, 126622, true, 710
35, 47, 172035, true, 1011
39, 49, 94014, true, 523
35, -1, 27724049, false, 900000
41, 53, 379171, true, 2367
44, 56, 782781, true, 4931
40, 56, 13107058, true, 108155
52, 64, 8174401, true, 59480
42, 56, 3444111, true, 25539
31, 41, 32893, true, 181
29, 55, 20125242, true, 179402
38, 50, 74785, true, 413
37, 51, 491659, true, 3109
39, 57, 6528026, true, 50824
48, -1, 27870000, false, 900000
31, 45, 173408, true, 1090
43, 57, 2144717, true, 14624
42, 56, 1657777, true, 11109
33, 51, 1151130, true, 8015
33, 47, 241698, true, 1494
43, -1, 27896100, false, 900000
30, 50, 7503807, true, 61436
31, 51, 3115342, true, 23299
41, 53, 1023386, true, 6711
32, 52, 2899319, true, 21490
32, 44, 115221, true, 675
40, 56, 5426415, true, 41789
37, 49, 290794, true, 1750
48, 56, 399557, true, 2385
32, 48, 799295, true, 5398
41, 57, 10325426, true, 84134
34, 54, 1537279, true, 10619
43, 53, 460465, true, 2856
30, 42, 45496, true, 245
43, 57, 3928203, true, 28234
41, 53, 321558, true, 1895
44, -1, 27935846, false, 900000
33, 49, 1420799, true, 10082
43, 55, 4307743, true, 31411
32, 44, 157521, true, 938
37, 45, 81156, true, 452
36, 52, 1290152, true, 8786
45, -1, 27686324, false, 900000
40, 54, 1752213, true, 12362
38, 50, 151474, true, 861
43, 57, 7122855, true, 54263
37, 57, 21420012, true, 184236
36, 46, 282758, true, 1721
45, 53, 18539, true, 88
34, 50, 797414, true, 5299
35, 49, 250040, true, 1497
34, 44, 42031, true, 225
36, 54, 6853917, true, 54649
39, 57, 2639824, true, 18686
38, 54, 3082606, true, 22628
