value,solution,"nodesT, solutionF, sec"
41, 53, 2875944, true, 11286
NA, -1, -1, false, -1
43, 55, 3330853, true, 13225
NA,-1,-1,false,-1
42, 56, 10520571, true, 53220
42, 56, 2826415, true, 10819
36, 52, 3245871, true, 13191
30, 52, 18715140, true, 111071
32, 50, 3905982, true, 17109
32, 46, 281169, true, 657
NA,-1,-1,false,-1
43, 57, 12184259, true, 64161
35, 45, 137798, true, 279
36, 46, 2050625, true, 7936
NA,-1,-1,false,-1
44, 62, 28043575, true, 162665
24, 42, 1386975, true, 5119
NA,-1,-1,false,-1
43, 55, 3282042, true, 12842
36, 46, 255708, true, 570
36, 52, 2721872, true, 10655
34, 54, 5337945, true, 24886
41, 59, 23571417, true, 138428
33, 49, 3194560, true, 13198
34, 54, 5387549, true, 25222
32, 52, 13740850, true, 77222
NA,-1,-1,false,-1
33, 53, 14755141, true, 84665
36, 52, 2844350, true, 11107
38, 54, 4897303, true, 21943
35, 47, 555984, true, 1505
38, 50, 601781, true, 1629
NA,-1,-1,false,-1
42, 60, 30787788, true, 184843
36, 52, 2437462, true, 9244
39, 55, 10680334, true, 55044
36, 52, 5264854, true, 24319
NA,-1,-1,false,-1
35, 49, 1970416, true, 7489
36, 54, 6847594, true, 33446
36, 54, 5877550, true, 27337
30, 42, 111671, true, 204
48, 64, 12153950, true, 58738
32, 50, 7491039, true, 38451
39, 51, 1255125, true, 4032
35, 49, 2165697, true, 8309
35, 47, 586565, true, 1620
39, 49, 442500, true, 1094
NA,-1,-1,false,-1
39, 53, 3199690, true, 13244
44, 56, 3797403, true, 15880
38, 56, 13219272, true, 73095
NA,-1,-1,false,-1
40, 56, 10477527, true, 54950
29, 41, 111029, true, 210
NA,-1,-1,false,-1
36, 50, 1407588, true, 4828
37, 51, 1506373, true, 5410
NA,-1,-1,false,-1
NA,-1,-1,false,-1
31, 45, 728332, true, 2225
43, 57, 5357970, true, 23721
NA,-1,-1,false,-1
31, 51, 17887814, true, 108528
31, 47, 2825668, true, 12080
NA,-1,-1,false,-1
28, 50, 8920592, true, 48681
31, 51, 7617179, true, 39064
37, 53, 14412624, true, 81771
30, 52, 8434971, true, 44559
30, 44, 640747, true, 1871
NA,-1,-1,false,-1
37, 49, 462739, true, 1188
46, 56, 433707, true, 1094
30, 48, 3575553, true, 16300
41, 57, 27279031, true, 169624
34, 54, 4021013, true, 17377
41, 53, 1333650, true, 4416
28, 42, 116952, true, 210
43, 57, 12296734, true, 64796
39, 53, 2401757, true, 9573
NA,-1,-1,false,-1
31, 49, 3601293, true, 16142
37, 55, 14582721, true, 80843
32, 44, 469863, true, 1281
35, 45, 384406, true, 983
34, 52, 8332175, true, 42393
NA,-1,-1,false,-1
38, 54, 10233441, true, 54587
36, 50, 1079735, true, 3660
NA,-1,-1,false,-1
NA,-1,-1,false,-1
34, 46, 342474, true, 838
45, 53, 54900, true, 72
34, 50, 2919078, true, 12150
35, 49, 1299068, true, 4579
32, 44, 287192, true, 711
34, 54, 25464117, true, 172246
39, 57, 11091238, true, 65294
38, 54, 10357200, true, 62280
